time_h,TM_Control,TM1A,TM1B,TM2A,TM2B,TM3A,TM3B,TM4A,TM4B,TM5A,TM5B,TM6A,TM6B,TM7A,TM7B
0,0.01466,0.01500,0.01475,0.01310,0.01280,0.01276,0.01142,0.01278,0.01212,0.01275,0.00962,0.01194,0.01153,0.01098,0.01075
12,0.01474,0.01514,0.01479,0.01310,0.01294,0.01287,0.01160,0.01286,0.01204,0.01288,0.00975,0.01211,0.01167,0.01115,0.01086
24,0.01513,0.01526,0.01490,0.01317,0.01306,0.01292,0.01155,0.01280,0.01208,0.01300,0.00981,0.01216,0.01172,0.01121,0.01090
36,0.01527,0.01530,0.01494,0.01320,0.01306,0.01303,0.01166,0.01283,0.01212,0.01304,0.00988,0.01219,0.01173,0.01121,0.01081
48,0.01513,0.01532,0.01495,0.01323,0.01306,0.01300,0.01167,0.01285,0.01214,0.01305,0.00986,0.01223,0.01174,0.01126,0.01089
60,0.01507,0.01533,0.01496,0.01321,0.01310,0.01299,0.01164,0.01281,0.01214,0.01303,0.00987,0.01221,0.01174,0.01133,0.01089
72,0.01517,0.01535,0.01502,0.01325,0.01314,0.01302,0.01171,0.01284,0.01214,0.01313,0.00997,0.01234,0.01193,0.01132,0.01095
84,0.01511,0.01550,0.01503,0.01329,0.01314,0.01307,0.01172,0.01290,0.01221,0.01322,0.01009,0.01243,0.01201,0.01139,0.01103
96,0.01514,0.01543,0.01509,0.01333,0.01317,0.01312,0.01176,0.01279,0.01210,0.01307,0.00985,0.01226,0.01175,0.01135,0.01098
108,0.01507,0.01544,0.01513,0.01334,0.01325,0.01321,0.01179,0.01292,0.01220,0.01320,0.01006,0.01242,0.01181,0.01135,0.01102
120,0.01510,0.01542,0.01508,0.01331,0.01316,0.01322,0.01176,0.01285,0.01212,0.01312,0.00994,0.01229,0.01181,0.01137,0.01100
